36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:33:52.0 (857691)|USER_INFO|[EXTERNAL]|005f4000002PiXT|amancebo.habitica@altimetrik.com|Argentine Time|GMT-03:00
11:33:52.0 (970965)|EXECUTION_STARTED
11:33:52.0 (977015)|CODE_UNIT_STARTED|[EXTERNAL]|01pf400000GkBRc|CompleteHTaskTriggerTest.completeDailyTask
11:33:52.0 (1303419)|HEAP_ALLOCATE|[72]|Bytes:3
11:33:52.0 (1359705)|HEAP_ALLOCATE|[77]|Bytes:152
11:33:52.0 (1390572)|HEAP_ALLOCATE|[342]|Bytes:408
11:33:52.0 (1419711)|HEAP_ALLOCATE|[355]|Bytes:408
11:33:52.0 (1445108)|HEAP_ALLOCATE|[467]|Bytes:48
11:33:52.0 (1485847)|HEAP_ALLOCATE|[139]|Bytes:6
11:33:52.0 (1507470)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:67
11:33:52.0 (1527693)|METHOD_ENTRY|[2]|01pf400000GkBRc|CompleteHTaskTriggerTest.CompleteHTaskTriggerTest()
11:33:52.0 (1534973)|STATEMENT_EXECUTE|[2]
11:33:52.0 (1539918)|STATEMENT_EXECUTE|[2]
11:33:52.0 (1544419)|METHOD_EXIT|[2]|CompleteHTaskTriggerTest
11:33:52.0 (1744371)|HEAP_ALLOCATE|[50]|Bytes:5
11:33:52.0 (1774473)|HEAP_ALLOCATE|[56]|Bytes:5
11:33:52.0 (1783453)|HEAP_ALLOCATE|[64]|Bytes:7
11:33:52.0 (1836326)|STATEMENT_EXECUTE|[4]
11:33:52.0 (1838487)|STATEMENT_EXECUTE|[5]
11:33:52.0 (1886481)|HEAP_ALLOCATE|[5]|Bytes:63
11:33:52.0 (1899625)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
11:33:52.0 (1905558)|STATEMENT_EXECUTE|[1]
11:33:52.0 (1914809)|SYSTEM_METHOD_EXIT|[1]|Test
11:33:52.0 (1930299)|METHOD_ENTRY|[5]||System.Test.startTest()
11:33:52.0 (3194267)|METHOD_EXIT|[5]||System.Test.startTest()
11:33:52.0 (3207967)|STATEMENT_EXECUTE|[6]
11:33:52.0 (3285325)|HEAP_ALLOCATE|[6]|Bytes:4
11:33:52.0 (3417944)|HEAP_ALLOCATE|[6]|Bytes:12
11:33:52.0 (3510145)|VARIABLE_ASSIGNMENT|[6]|this.LastName|"TestContact1"|0x8544661
11:33:52.0 (3573277)|HEAP_ALLOCATE|[6]|Bytes:28
11:33:52.0 (3581625)|HEAP_ALLOCATE|[6]|Bytes:28
11:33:52.0 (3680778)|VARIABLE_ASSIGNMENT|[6]|this.Points__c|10|0x8544661
11:33:52.0 (3733534)|VARIABLE_SCOPE_BEGIN|[6]|cont1|Contact|true|false
11:33:52.0 (3784618)|VARIABLE_ASSIGNMENT|[6]|cont1|{"LastName":"TestContact1","Points__c":10}|0x8544661
11:33:52.0 (3793306)|STATEMENT_EXECUTE|[7]
11:33:52.0 (3828417)|HEAP_ALLOCATE|[7]|Bytes:8
11:33:52.0 (3839706)|DML_BEGIN|[7]|Op:Upsert|Type:Contact|Rows:1
11:33:52.0 (3872928)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:33:52.0 (17064870)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
11:33:52.0 (17090741)|DUPLICATE_DETECTION_BEGIN
11:33:52.0 (17928346)|DUPLICATE_DETECTION_RULE_INVOCATION|DuplicateRuleId:0Bmf4000005NvDQ|DuplicateRuleName:Standard Contact Duplicate Rule|DmlType:INSERT
11:33:52.0 (53263411)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
11:33:52.0 (53292452)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
11:33:52.0 (53303368)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
11:33:52.0 (53310953)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
11:33:52.0 (53478032)|DUPLICATE_DETECTION_END
11:33:52.0 (53483893)|CODE_UNIT_FINISHED|DuplicateDetector
11:33:52.0 (77751230)|DML_END|[7]
11:33:52.0 (77790983)|STATEMENT_EXECUTE|[9]
11:33:52.0 (77803993)|HEAP_ALLOCATE|[9]|Bytes:71
11:33:52.0 (77854798)|HEAP_ALLOCATE|[9]|Bytes:4
11:33:52.0 (78162094)|SOQL_EXECUTE_BEGIN|[9]|Aggregations:0|SELECT Id, Name, Points__c FROM Contact WHERE LastName = 'TestContact1'
11:33:52.0 (96064277)|SOQL_EXECUTE_END|[9]|Rows:1
11:33:52.0 (96107493)|HEAP_ALLOCATE|[9]|Bytes:8
11:33:52.0 (96130688)|HEAP_ALLOCATE|[9]|Bytes:98
11:33:52.0 (96338750)|HEAP_ALLOCATE|[9]|Bytes:8
11:33:52.0 (96396155)|HEAP_ALLOCATE|[9]|Bytes:33
11:33:52.0 (96459857)|HEAP_ALLOCATE|[9]|Bytes:16
11:33:52.0 (96474028)|VARIABLE_SCOPE_BEGIN|[9]|cont1Before|Contact|true|false
11:33:52.0 (96512644)|VARIABLE_ASSIGNMENT|[9]|cont1Before|{"Id":"003f400000Pu06nAAB","Name":"TestContact1","Points__c":10}|0x1dedb738
11:33:52.0 (96522776)|STATEMENT_EXECUTE|[11]
11:33:52.0 (96597735)|HEAP_ALLOCATE|[11]|Bytes:4
11:33:52.0 (96735649)|HEAP_ALLOCATE|[11]|Bytes:9
11:33:52.0 (96805749)|VARIABLE_ASSIGNMENT|[11]|this.Name|"TestTask1"|0x7dd70cab
11:33:52.0 (96814542)|HEAP_ALLOCATE|[11]|Bytes:5
11:33:52.0 (96845162)|VARIABLE_ASSIGNMENT|[11]|this.Type__c|"Daily"|0x7dd70cab
11:33:52.0 (96941270)|VARIABLE_ASSIGNMENT|[11]|this.Contact__c|"003f400000Pu06nAAB"|0x7dd70cab
11:33:52.0 (96950872)|HEAP_ALLOCATE|[11]|Bytes:3
11:33:52.0 (96968096)|VARIABLE_ASSIGNMENT|[11]|this.Status__c|"New"|0x7dd70cab
11:33:52.0 (96975645)|HEAP_ALLOCATE|[11]|Bytes:4
11:33:52.0 (96988406)|VARIABLE_ASSIGNMENT|[11]|this.Difficulty__c|"Hard"|0x7dd70cab
11:33:52.0 (97047925)|VARIABLE_SCOPE_BEGIN|[11]|task|HTask__c|true|false
