36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
15:20:15.0 (907700)|USER_INFO|[EXTERNAL]|005f4000002PiXT|amancebo.habitica@altimetrik.com|Argentine Time|GMT-03:00
15:20:15.0 (1117364)|EXECUTION_STARTED
15:20:15.0 (1123342)|CODE_UNIT_STARTED|[EXTERNAL]|01pf400000GkBRX|EndOfDayScheduleTest.dailyTest
15:20:15.0 (1382448)|HEAP_ALLOCATE|[72]|Bytes:3
15:20:15.0 (1445667)|HEAP_ALLOCATE|[77]|Bytes:152
15:20:15.0 (1468680)|HEAP_ALLOCATE|[342]|Bytes:408
15:20:15.0 (1493280)|HEAP_ALLOCATE|[355]|Bytes:408
15:20:15.0 (1517163)|HEAP_ALLOCATE|[467]|Bytes:48
15:20:15.0 (1588708)|HEAP_ALLOCATE|[139]|Bytes:6
15:20:15.0 (1607633)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:50
15:20:15.0 (1651232)|METHOD_ENTRY|[2]|01pf400000GkBRX|EndOfDayScheduleTest.EndOfDayScheduleTest()
15:20:15.0 (1658474)|STATEMENT_EXECUTE|[2]
15:20:15.0 (1663418)|STATEMENT_EXECUTE|[2]
15:20:15.0 (1678975)|METHOD_EXIT|[2]|EndOfDayScheduleTest
15:20:15.0 (1900315)|HEAP_ALLOCATE|[50]|Bytes:5
15:20:15.0 (1928002)|HEAP_ALLOCATE|[56]|Bytes:5
15:20:15.0 (1937007)|HEAP_ALLOCATE|[64]|Bytes:7
15:20:15.0 (1974708)|STATEMENT_EXECUTE|[4]
15:20:15.0 (1976964)|STATEMENT_EXECUTE|[5]
15:20:15.0 (2038378)|HEAP_ALLOCATE|[5]|Bytes:4
15:20:15.0 (2112073)|HEAP_ALLOCATE|[5]|Bytes:12
15:20:15.0 (2165564)|VARIABLE_ASSIGNMENT|[5]|this.LastName|"TestContact1"|0x6cb006c7
15:20:15.0 (2197944)|HEAP_ALLOCATE|[5]|Bytes:28
15:20:15.0 (2202424)|HEAP_ALLOCATE|[5]|Bytes:28
15:20:15.0 (2228171)|VARIABLE_ASSIGNMENT|[5]|this.Points__c|10|0x6cb006c7
15:20:15.0 (2235150)|HEAP_ALLOCATE|[5]|Bytes:23
15:20:15.0 (2257148)|VARIABLE_ASSIGNMENT|[5]|this.Email|"amancebo@altimetrik. (3 more) ..."|0x6cb006c7
15:20:15.0 (2300405)|VARIABLE_SCOPE_BEGIN|[5]|contBefore|Contact|true|false
15:20:15.0 (2465606)|VARIABLE_ASSIGNMENT|[5]|contBefore|{"LastName":"TestContact1","Points__c":10,"Email":"amancebo@altimetrik. (3 more) ..."}|0x6cb006c7
15:20:15.0 (2476992)|STATEMENT_EXECUTE|[6]
15:20:15.0 (2516594)|HEAP_ALLOCATE|[6]|Bytes:8
15:20:15.0 (2538441)|DML_BEGIN|[6]|Op:Upsert|Type:Contact|Rows:1
15:20:15.0 (2583217)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
15:20:15.0 (15770582)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
15:20:15.0 (15808161)|DUPLICATE_DETECTION_BEGIN
15:20:15.0 (16750497)|DUPLICATE_DETECTION_RULE_INVOCATION|DuplicateRuleId:0Bmf4000005NvDQ|DuplicateRuleName:Standard Contact Duplicate Rule|DmlType:INSERT
15:20:15.0 (43073764)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
15:20:15.0 (43106604)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
15:20:15.0 (43115892)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
15:20:15.0 (43122368)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
15:20:15.0 (43288154)|DUPLICATE_DETECTION_END
15:20:15.0 (43296401)|CODE_UNIT_FINISHED|DuplicateDetector
15:20:15.0 (75428727)|DML_END|[6]
15:20:15.0 (75464267)|STATEMENT_EXECUTE|[8]
15:20:15.0 (75473782)|HEAP_ALLOCATE|[8]|Bytes:72
15:20:15.0 (75508943)|HEAP_ALLOCATE|[8]|Bytes:4
15:20:15.0 (75773360)|SOQL_EXECUTE_BEGIN|[8]|Aggregations:0|SELECT Id, Points__c, Email FROM Contact WHERE LastName = 'TestContact1'
15:20:15.0 (82633779)|SOQL_EXECUTE_END|[8]|Rows:1
