36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:27:15.0 (748754)|USER_INFO|[EXTERNAL]|005f4000002PiXT|amancebo.habitica@altimetrik.com|Argentine Time|GMT-03:00
11:27:15.0 (792276)|EXECUTION_STARTED
11:27:15.0 (797838)|CODE_UNIT_STARTED|[EXTERNAL]|01pf400000GkBRc|CompleteHTaskTriggerTest.completeDailyTask
11:27:15.0 (1682418)|HEAP_ALLOCATE|[72]|Bytes:3
11:27:15.0 (1733471)|HEAP_ALLOCATE|[77]|Bytes:152
11:27:15.0 (1751232)|HEAP_ALLOCATE|[342]|Bytes:408
11:27:15.0 (1764586)|HEAP_ALLOCATE|[355]|Bytes:408
11:27:15.0 (1777700)|HEAP_ALLOCATE|[467]|Bytes:48
11:27:15.0 (1806817)|HEAP_ALLOCATE|[139]|Bytes:6
11:27:15.0 (1822468)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:56
11:27:15.0 (1833685)|METHOD_ENTRY|[2]|01pf400000GkBRc|CompleteHTaskTriggerTest.CompleteHTaskTriggerTest()
11:27:15.0 (1840887)|STATEMENT_EXECUTE|[2]
11:27:15.0 (1846740)|STATEMENT_EXECUTE|[2]
11:27:15.0 (1851275)|METHOD_EXIT|[2]|CompleteHTaskTriggerTest
11:27:15.0 (1889921)|HEAP_ALLOCATE|[50]|Bytes:5
11:27:15.0 (1912599)|HEAP_ALLOCATE|[56]|Bytes:5
11:27:15.0 (1920014)|HEAP_ALLOCATE|[64]|Bytes:7
11:27:15.0 (1961189)|STATEMENT_EXECUTE|[4]
11:27:15.0 (1963354)|STATEMENT_EXECUTE|[5]
11:27:15.0 (2016826)|HEAP_ALLOCATE|[5]|Bytes:4
11:27:15.0 (2094294)|HEAP_ALLOCATE|[5]|Bytes:12
11:27:15.0 (3280978)|VARIABLE_ASSIGNMENT|[5]|this.LastName|"TestContact1"|0x7a91d31c
11:27:15.0 (3343711)|HEAP_ALLOCATE|[5]|Bytes:28
11:27:15.0 (3351264)|HEAP_ALLOCATE|[5]|Bytes:28
11:27:15.0 (3386001)|VARIABLE_ASSIGNMENT|[5]|this.Points__c|10|0x7a91d31c
11:27:15.0 (3420134)|VARIABLE_SCOPE_BEGIN|[5]|cont1|Contact|true|false
11:27:15.0 (3449904)|VARIABLE_ASSIGNMENT|[5]|cont1|{"LastName":"TestContact1","Points__c":10}|0x7a91d31c
11:27:15.0 (3462602)|STATEMENT_EXECUTE|[6]
11:27:15.0 (3502077)|HEAP_ALLOCATE|[6]|Bytes:8
11:27:15.0 (3518262)|DML_BEGIN|[6]|Op:Upsert|Type:Contact|Rows:1
11:27:15.0 (3562794)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:27:15.0 (15255114)|CODE_UNIT_STARTED|[EXTERNAL]|DuplicateDetector
11:27:15.0 (15281611)|DUPLICATE_DETECTION_BEGIN
11:27:15.0 (16280670)|DUPLICATE_DETECTION_RULE_INVOCATION|DuplicateRuleId:0Bmf4000005NvDQ|DuplicateRuleName:Standard Contact Duplicate Rule|DmlType:INSERT
11:27:15.0 (41949276)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
11:27:15.0 (41978538)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
11:27:15.0 (41990670)|DUPLICATE_DETECTION_MATCH_INVOCATION_DETAILS|EntityType:Contact|ActionTaken:Allow_[Alert,Report]|DuplicateRecordIds:
11:27:15.0 (41998279)|DUPLICATE_DETECTION_MATCH_INVOCATION_SUMMARY|EntityType:Contact|NumRecordsToBeSaved:1|NumRecordsToBeSavedWithDuplicates:0|NumDuplicateRecordsFound:0
11:27:15.0 (42159212)|DUPLICATE_DETECTION_END
11:27:15.0 (42169370)|CODE_UNIT_FINISHED|DuplicateDetector
11:27:15.0 (62916784)|DML_END|[6]
11:27:15.0 (62950976)|STATEMENT_EXECUTE|[8]
11:27:15.0 (62960425)|HEAP_ALLOCATE|[8]|Bytes:71
11:27:15.0 (62997807)|HEAP_ALLOCATE|[8]|Bytes:4
11:27:15.0 (63188569)|SOQL_EXECUTE_BEGIN|[8]|Aggregations:0|SELECT Id, Name, Points__c FROM Contact WHERE LastName = 'TestContact1'
11:27:15.0 (69578117)|SOQL_EXECUTE_END|[8]|Rows:1
11:27:15.0 (69610310)|HEAP_ALLOCATE|[8]|Bytes:8
11:27:15.0 (69632434)|HEAP_ALLOCATE|[8]|Bytes:98
11:27:15.0 (69751931)|HEAP_ALLOCATE|[8]|Bytes:8
11:27:15.0 (69771894)|HEAP_ALLOCATE|[8]|Bytes:33
11:27:15.0 (69820708)|HEAP_ALLOCATE|[8]|Bytes:16
11:27:15.0 (69831169)|VARIABLE_SCOPE_BEGIN|[8]|cont1Before|Contact|true|false
11:27:15.0 (69869637)|VARIABLE_ASSIGNMENT|[8]|cont1Before|{"Id":"003f400000Pu04mAAB","Name":"TestContact1","Points__c":10}|0x7d91ce59
11:27:15.0 (69880750)|STATEMENT_EXECUTE|[10]
11:27:15.0 (69940189)|HEAP_ALLOCATE|[10]|Bytes:4
11:27:15.0 (70032574)|HEAP_ALLOCATE|[10]|Bytes:9
11:27:15.0 (71429286)|VARIABLE_ASSIGNMENT|[10]|this.Name|"TestTask1"|0x5e2ab88f
11:27:15.0 (71441952)|HEAP_ALLOCATE|[10]|Bytes:5
11:27:15.0 (71465931)|VARIABLE_ASSIGNMENT|[10]|this.Type__c|"Daily"|0x5e2ab88f
11:27:15.0 (71512691)|VARIABLE_ASSIGNMENT|[10]|this.Contact__c|"003f400000Pu04mAAB"|0x5e2ab88f
11:27:15.0 (71520311)|HEAP_ALLOCATE|[10]|Bytes:3
11:27:15.0 (71535385)|VARIABLE_ASSIGNMENT|[10]|this.Status__c|"New"|0x5e2ab88f
11:27:15.0 (71541979)|HEAP_ALLOCATE|[10]|Bytes:4
11:27:15.0 (71553727)|VARIABLE_ASSIGNMENT|[10]|this.Difficulty__c|"Hard"|0x5e2ab88f
11:27:15.0 (71583507)|VARIABLE_SCOPE_BEGIN|[10]|task|HTask__c|true|false
11:27:15.0 (71602137)|VARIABLE_ASSIGNMENT|[10]|task|{"Name":"TestTask1","Type__c":"Daily","Contact__c":"003f400000Pu04mAAB","Status__c":"New","Difficulty__c":"Hard"}|0x5e2ab88f
11:27:15.0 (71608951)|STATEMENT_EXECUTE|[11]
11:27:15.0 (71636220)|HEAP_ALLOCATE|[11]|Bytes:8
11:27:15.0 (71647230)|DML_BEGIN|[11]|Op:Upsert|Type:HTask__c|Rows:1
11:27:15.0 (71677888)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
11:27:15.0 (83879201)|CODE_UNIT_STARTED|[EXTERNAL]|Validation:HTask:new
11:27:15.0 (83899884)|VALIDATION_RULE|03df40000002ejE|ContactRequired
11:27:15.0 (84001266)|VALIDATION_FORMULA|ISBLANK(Contact__c)|Contact__c=003f400000Pu04m
11:27:15.0 (84011100)|VALIDATION_PASS
11:27:15.0 (84013345)|VALIDATION_RULE|03df40000002ejO|DificultyRequired
11:27:15.0 (84073448)|VALIDATION_FORMULA|ISBLANK(TEXT(Difficulty__c))|Difficulty__c=Hard
11:27:15.0 (84079579)|VALIDATION_PASS
11:27:15.0 (84081313)|VALIDATION_RULE|03df40000002bNN|StatusNone
11:27:15.0 (84163302)|VALIDATION_FORMULA|TEXT(Status__c) <> 'New'  
&& TEXT(Status__c) <> 'In Progress'
&& TEXT(Status__c) <> 'Completed'|Status__c=New
11:27:15.0 (84169454)|VALIDATION_PASS
11:27:15.0 (84267114)|CODE_UNIT_FINISHED|Validation:HTask:new
11:27:15.0 (99201198)|DML_END|[11]
11:27:15.0 (99239665)|STATEMENT_EXECUTE|[13]
11:27:15.0 (99253082)|HEAP_ALLOCATE|[13]|Bytes:70
11:27:15.0 (99297062)|HEAP_ALLOCATE|[13]|Bytes:4
11:27:15.0 (99556186)|SOQL_EXECUTE_BEGIN|[13]|Aggregations:0|SELECT Id, Status__c, Points__c FROM HTask__c WHERE Name = 'TestTask1'
11:27:15.0 (441385581)|SOQL_EXECUTE_END|[13]|Rows:1
11:27:15.0 (441423285)|HEAP_ALLOCATE|[13]|Bytes:8
11:27:15.0 (441449664)|HEAP_ALLOCATE|[13]|Bytes:94
11:27:15.0 (441544690)|HEAP_ALLOCATE|[13]|Bytes:8
11:27:15.0 (441573394)|HEAP_ALLOCATE|[13]|Bytes:34
11:27:15.0 (441626377)|HEAP_ALLOCATE|[13]|Bytes:16
11:27:15.0 (441662986)|VARIABLE_ASSIGNMENT|[13]|task|{"Id":"a00f4000009W3dDAAS","Status__c":"New","Points__c":2.50}|0xe0d8908
11:27:15.0 (441674256)|STATEMENT_EXECUTE|[14]
