36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
11:35:28.0 (782292)|USER_INFO|[EXTERNAL]|005f4000002PiXT|amancebo.habitica@altimetrik.com|Argentine Time|GMT-03:00
11:35:28.0 (855280)|EXECUTION_STARTED
11:35:28.0 (860014)|CODE_UNIT_STARTED|[EXTERNAL]|01pf400000GkBRc|CompleteHTaskTriggerTest.completeDailyTask
11:35:28.0 (1049498)|HEAP_ALLOCATE|[72]|Bytes:3
11:35:28.0 (1078691)|HEAP_ALLOCATE|[77]|Bytes:152
11:35:28.0 (1094878)|HEAP_ALLOCATE|[342]|Bytes:408
11:35:28.0 (1110669)|HEAP_ALLOCATE|[355]|Bytes:408
11:35:28.0 (1124402)|HEAP_ALLOCATE|[467]|Bytes:48
11:35:28.0 (1148521)|HEAP_ALLOCATE|[139]|Bytes:6
11:35:28.0 (1162805)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:67
11:35:28.0 (1185162)|METHOD_ENTRY|[2]|01pf400000GkBRc|CompleteHTaskTriggerTest.CompleteHTaskTriggerTest()
11:35:28.0 (1190944)|STATEMENT_EXECUTE|[2]
11:35:28.0 (1195321)|STATEMENT_EXECUTE|[2]
11:35:28.0 (1199073)|METHOD_EXIT|[2]|CompleteHTaskTriggerTest
11:35:28.0 (1346306)|HEAP_ALLOCATE|[50]|Bytes:5
11:35:28.0 (1366199)|HEAP_ALLOCATE|[56]|Bytes:5
11:35:28.0 (1374217)|HEAP_ALLOCATE|[64]|Bytes:7
11:35:28.0 (1410170)|STATEMENT_EXECUTE|[4]
11:35:28.0 (1412328)|STATEMENT_EXECUTE|[5]
11:35:28.0 (1438913)|HEAP_ALLOCATE|[5]|Bytes:63
11:35:28.0 (1447999)|SYSTEM_METHOD_ENTRY|[1]|Test.Test()
11:35:28.0 (1451767)|STATEMENT_EXECUTE|[1]
11:35:28.0 (1456595)|SYSTEM_METHOD_EXIT|[1]|Test
11:35:28.0 (1468803)|METHOD_ENTRY|[5]||System.Test.startTest()
11:35:28.0 (2925285)|METHOD_EXIT|[5]||System.Test.startTest()
11:35:28.0 (2933313)|STATEMENT_EXECUTE|[6]
11:35:28.0 (2969145)|HEAP_ALLOCATE|[6]|Bytes:4
11:35:28.0 (3020024)|HEAP_ALLOCATE|[6]|Bytes:12
11:35:28.0 (3064232)|VARIABLE_ASSIGNMENT|[6]|this.LastName|"TestContact1"|0x42ac7cf3
11:35:28.0 (3092877)|HEAP_ALLOCATE|[6]|Bytes:28
11:35:28.0 (3097341)|HEAP_ALLOCATE|[6]|Bytes:28
11:35:28.0 (3122214)|VARIABLE_ASSIGNMENT|[6]|this.Points__c|10|0x42ac7cf3
